G1480	ἐθίζω	G1485	G1486	ἔθω	|
G1481	ἐθνάρχης	G1484+G746	G1486+G757	ἔθω+ἄρχω	|
G1482	ἐθνικός	G1484	G1486	ἔθω	|
G1483	ἐθνικῶς	G1482	G1486	ἔθω	|
G1484	ἔθνος	G1486	G1486	ἔθω	|
G1485	ἔθος	G1486	G1486	ἔθω	|
G1486	ἔθω		G1486	ἔθω	|
G1487	εἰ		G1487	εἰ	|
G1488	εἶ	G1510	G1510	εἰμί	|
G1489	εἴγε	G1487+G1065	G1487+G1065	εἰ+γέ	|
G1490	εἰ δὲ μή(γε)	G1487+G1161+G3361+G1065	G1487+G1161+G3756+G1065	εἰ+δέ+οὐχ+γέ	|
G1491	εἶδος	G1492	G1492	εἴδω	|
G1492	εἴδω		G1492	εἴδω	|
G1493	εἰδωλεῖον	G1497	G1492	εἴδω	|
G1494	εἰδωλόθυτον	G1497+G2380	G1492+G2380	εἴδω+θύω	|
G1495	εἰδωλολατρεία	G1497+G2999	G1492+G3000	εἴδω+λατρεύω	|
G1496	εἰδωλολάτρης	G1497+G3000	G1492+G3000	εἴδω+λατρεύω	|
G1497	εἴδωλον	G1491	G1492	εἴδω	|
G1498	εἴην	G1510	G1510	εἰμί	|
G1499	εἰ καί	G1487+G2532	G1487+G2532	εἰ+καί	|
G1500	εἰκῆ	G1502	G1502	εἴκω	|
G1501	εἴκοσι		G1501	εἴκοσι	|
G1502	εἴκω		G1502	εἴκω	|
G1503	εἴκω	G1502	G1502	εἴκω	|
G1504	εἰκών	G1503	G1502	εἴκω	|
G1505	εἰλικρίνεια	G1506	G2919	κρίνω	|
G1506	εἰλικρινής	G2919	G2919	κρίνω	|
G1507	εἱλίσσω		G1507	εἱλίσσω	|
G1508	εἰ μή	G1487+G3361	G1487+G3756	εἰ+οὐχ	|
G1509	εἰ μή τι	G1508+G5100	G1487+G3756+G5100	εἰ+οὐχ+τὶς	|
G1510	εἰμί		G1510	εἰμί	|
G1511	εἶναι	G1510	G1510	εἰμί	|
G1512	εἴ περ	G1487+G4007	G1487+G4008	εἰ+πέραν	|
G1513	εἴ πως	G1487+G4458	G1487+G3588	εἰ+τό	|
G1514	εἰρηνεύω	G1515	G1515	εἰρήνη	|
G1515	εἰρήνη		G1515	εἰρήνη	|
G1516	εἰρηνικός	G1515	G1515	εἰρήνη	|
G1517	εἰρηνοποιέω	G1518	G1515+G4160	εἰρήνη+ποιέω	|
G1518	εἰρηνοποιός	G1515+G4160	G1515+G4160	εἰρήνη+ποιέω	|
G1519	εἰς		G1519	εἰς	|
G1520	ἕν		G1520	ἕν	|
G1521	εἰσάγω	G1519+G71	G1519+G71	εἰς+ἄγω	|
G1522	εἰσακούω	G1519+G191	G1519+G191	εἰς+ἀκούω	|
G1523	εἰσδέχομαι	G1519+G1209	G1519+G1209	εἰς+δέχομαι	|
G1524	εἴσειμι	G1519	G1519	εἰς	|
G1525	εἰσέρχομαι	G1519+G2064	G1519+G2064	εἰς+ἔρχομαι	|
G1526	εἰσί	G1510	G1510	εἰμί	|
G1527	εἷς καθ’ εἷς	G1520+G2596	G1520+G2596	ἕν+κατά	|
G1528	εἰσκαλέω	G1519+G2564	G1519+G2753	εἰς+κελεύω	|
G1529	εἴσοδος	G1519+G3598	G1519+G3598	εἰς+ὁδός	|
G1530	εἰσπηδάω	G1519	G1519	εἰς	|
G1531	εἰσπορεύομαι	G1519+G4198	G1519+G4008	εἰς+πέραν	|
G1532	εἰστρέχω	G1519+G5143	G1519+G2359	εἰς+θρίξ	|
G1533	εἰσφέρω	G1519+G5342	G1519+G5342	εἰς+φέρω	|
G1534	εἶτα		G1534	εἶτα	|
G1535	εἴτε	G1487+G5037	G1487+G5037	εἰ+τέ	|
G1536	εἴ τις	G1487+G5100	G1487+G5100	εἰ+τὶς	|
G1537	ἐξ		G1537	ἐξ	|
G1538	ἕκαστος		G1538	ἕκαστος	|
G1539	ἑκάστοτε	G1538+G5119	G1538+G3588+G3588+G5037	ἕκαστος+τό+τό+τέ	|
G1540	ἑκατόν		G1540	ἑκατόν	|
G1541	ἑκατονταέτης	G1540+G2094	G1540+G2094	ἑκατόν+ἔτος	|
G1542	ἑκατονταπλασίων	G1540+G4111	G1540+G4111	ἑκατόν+πλάσσω	|
G1543	ἑκατόνταρχος	G1540+G757	G1540+G757	ἑκατόν+ἄρχω	|
G1544	ἐκβάλλω	G1537+G906	G1537+G906	ἐξ+βάλλω	|
G1545	ἔκβασις	G1537+G939	G1537+G939	ἐξ+βάσις	|
G1546	ἐκβολή	G1544	G1537+G906	ἐξ+βάλλω	|
G1547	ἐκγαμίζω	G1537+G1061+G1548	G1537+G1062+G1537+G1062	ἐξ+γάμος+ἐξ+γάμος	|
G1548	ἐκγαμίσκω	G1537+G1061	G1537+G1062	ἐξ+γάμος	|
G1549	ἔκγονον	G1537+G1096	G1537+G1096	ἐξ+γίνομαι	|
G1550	ἐκδαπανάω	G1537+G1159	G1537+G1160	ἐξ+δαπάνη	|
G1551	ἐκδέχομαι	G1537+G1209	G1537+G1209	ἐξ+δέχομαι	|
G1552	ἔκδηλος	G1537+G1212	G1537+G1212	ἐξ+δῆλος	|
G1553	ἐκδημέω	G1537+G1218	G1537+G1210	ἐξ+δέω	|
G1554	ἐκδίδωμι	G1537+G1325	G1537+G1325	ἐξ+δίδωμι	|
G1555	ἐκδιηγέομαι	G1537+G1223+G2233	G1537+G1223+G71	ἐξ+διά+ἄγω	|
G1556	ἐκδικέω	G1558	G1537+G1166	ἐξ+δεικνύω	|
G1557	ἐκδίκησις	G1556	G1537+G1166	ἐξ+δεικνύω	|
G1558	ἔκδικος	G1537+G1349	G1537+G1166	ἐξ+δεικνύω	|
G1559	ἐκδιώκω	G1537+G1377	G1537+G1377	ἐξ+διώκω	|
G1560	ἔκδοτος	G1537+G1325	G1537+G1325	ἐξ+δίδωμι	|
G1561	ἐκδοχή	G1551	G1537+G1209	ἐξ+δέχομαι	|
G1562	ἐκδύω	G1537+G1416	G1537+G1416	ἐξ+δῦμι	|
G1563	ἐκεῖ		G1563	ἐκεῖ	|
G1564	ἐκεῖθεν	G1563	G1563	ἐκεῖ	|
G1565	ἐκεῖνος	G1563	G1563	ἐκεῖ	|
G1566	ἐκεῖσε	G1563	G1563	ἐκεῖ	|
G1567	ἐκζητέω	G1537+G2212	G1537+G2212	ἐξ+ζητέω	|
G1568	ἐκθαμβέω	G1569	G1537+G2285	ἐξ+θάμβος	|
G1569	ἔκθαμβος	G1537+G2285	G1537+G2285	ἐξ+θάμβος	|
G1570	ἔκθετος	G1537+G5087	G1537+G5087	ἐξ+τίθημι	|
G1571	ἐκκαθαίρω	G1537+G2508	G1537+G2513	ἐξ+καθαρός	|
G1572	ἐκκαίω	G1537+G2545	G1537+G2545	ἐξ+καίω	|
G1573	ἐκκακέω	G1537+G2556	G1537+G2556	ἐξ+κακός	|
G1574	ἐκκεντέω	G1537+G2759	G1537+G2759	ἐξ+κέντρον	|
G1575	ἐκκλάω	G1537+G2806	G1537+G2806	ἐξ+κλάω	|
G1576	ἐκκλείω	G1537+G2808	G1537+G2808	ἐξ+κλείω	|
G1577	ἐκκλησία	G1537+G2564	G1537+G2753	ἐξ+κελεύω	|
G1578	ἐκκλίνω	G1537+G2827	G1537+G2827	ἐξ+κλίνω	|
G1579	ἐκκολυμβάω	G1537+G2860	G1537+G2860	ἐξ+κολυμβάω	|
G1580	ἐκκομίζω	G1537+G2865	G1537+G2865	ἐξ+κομίζω	|
G1581	ἐκκόπτω	G1537+G2875	G1537+G2875	ἐξ+κόπτω	|
G1582	ἐκκρέμαμαι	G1537+G2910	G1537+G2910	ἐξ+κρεμάννυμι	|
G1583	ἐκλαλέω	G1537+G2980	G1537+G2980	ἐξ+λαλέω	|
G1584	ἐκλάμπω	G1537+G2989	G1537+G2989	ἐξ+λάμπω	|
G1585	ἐκλανθάνομαι	G1537+G2990	G1537+G2990	ἐξ+λανθάνω	|
G1586	ἐκλέγομαι	G1537+G3004	G1537+G3004	ἐξ+λέγω	|
G1587	ἐκλείπω	G1537+G3007	G1537+G3007	ἐξ+λείπω	|
G1588	ἐκλεκτός	G1586	G1537+G3004	ἐξ+λέγω	|
G1589	ἐκλογή	G1586	G1537+G3004	ἐξ+λέγω	|
G1590	ἐκλύω	G1537+G3089	G1537+G3089	ἐξ+λύω	|
G1591	ἐκμάσσω	G1537+G3145	G1537+G3145	ἐξ+μασσάομαι	|
G1592	ἐκμυκτηρίζω	G1537+G3456	G1537+G3455	ἐξ+μυκάομαι	|
G1593	ἐκνεύω	G1537+G3506	G1537+G3506	ἐξ+νεύω	|
G1594	ἐκνήφω	G1537+G3525	G1537+G3525	ἐξ+νήφω	|
G1595	ἑκούσιον	G1635	G1635	ἑκών	|
G1596	ἑκουσίως	G1595	G1635	ἑκών	|
G1597	ἔκπαλαι	G1537+G3819	G1537+G906	ἐξ+βάλλω	|
G1598	ἐκπειράζω	G1537+G3985	G1537+G4008	ἐξ+πέραν	|
G1599	ἐκπέμπω	G1537+G3992	G1537+G3992	ἐξ+πέμπω	|
G1600	ἐκπετάννυμι	G1537+G4072	G1537+G4072	ἐξ+πτάομαι	|
G1601	ἐκπίπτω	G1537+G4098	G1537+G4072	ἐξ+πτάομαι	|
G1602	ἐκπλέω	G1537+G4126	G1537+G4150	ἐξ+πλύνω	|
G1603	ἐκπληρόω	G1537+G4137	G1537+G4130	ἐξ+πλήθω	|
G1604	ἐκπλήρωσις	G1603	G1537+G4130	ἐξ+πλήθω	|
G1605	ἐκπλήσσω	G1537+G4141	G1537+G4111	ἐξ+πλάσσω	|
G1606	ἐκπνέω	G1537+G4154	G1537+G4154	ἐξ+πνέω	|
G1607	ἐκπορεύομαι	G1537+G4198	G1537+G4008	ἐξ+πέραν	|
G1608	ἐκπορνεύω	G1537+G4203	G1537+G4097	ἐξ+πράω	|
G1609	ἐκπτύω	G1537+G4429	G1537+G4428	ἐξ+πτύσσω	|
G1610	ἐκριζόω	G1537+G4492	G1537+G4491	ἐξ+ῥίζα	|
G1611	ἔκστασις	G1839	G1537+G2476	ἐξ+ἵστημι	|
G1612	ἐκστρέφω	G1537+G4762	G1537+G5157	ἐξ+τροπή	|
G1613	ἐκταράσσω	G1537+G5015	G1537+G5015	ἐξ+ταράσσω	|
G1614	ἐκτείνω	G1537	G1537	ἐξ	|
G1615	ἐκτελέω	G1537+G5055	G1537+G5056	ἐξ+τέλος	|
G1616	ἐκτένεια	G1618	G1537	ἐξ	|
G1617	ἐκτενέστερον	G1618	G1537	ἐξ	|
G1618	ἐκτενής	G1614	G1537	ἐξ	|
G1619	ἐκτενῶς	G1618	G1537	ἐξ	|
G1620	ἐκτίθημι	G1537+G5087	G1537+G5087	ἐξ+τίθημι	|
G1621	ἐκτινάσσω	G1537	G1537	ἐξ	|
G1622	ἐκτός	G1537	G1537	ἐξ	|
G1623	ἕκτος	G1803	G1803	ἕξ	|
G1624	ἐκτρέπω	G1537+G5157	G1537+G5157	ἐξ+τροπή	|
G1625	ἐκτρέφω	G1537+G5142	G1537+G5142	ἐξ+τρέφω	|
G1626	ἔκτρωμα	G1537	G1537	ἐξ	|
G1627	ἐκφέρω	G1537+G5342	G1537+G5342	ἐξ+φέρω	|
G1628	ἐκφεύγω	G1537+G5343	G1537+G5343	ἐξ+φεύγω	|
G1629	ἐκφοβέω	G1537+G5399	G1537+G5401	ἐξ+φόβος	|
G1630	ἔκφοβος	G1537+G5401	G1537+G5401	ἐξ+φόβος	|
G1631	ἐκφύω	G1537+G5453	G1537+G5453	ἐξ+φύω	|
G1632	ἐκχύνω	G1537	G1537	ἐξ	|
G1633	ἐκχωρέω	G1537+G5562	G1537+G5490	ἐξ+χάσμα	|
G1634	ἐκψύχω	G1537+G5594	G1537+G5594	ἐξ+ψύχω	|
G1635	ἑκών		G1635	ἑκών	|
G1636	ἐλαία		G1636	ἐλαία	|
G1637	ἔλαιον	G1636	G1636	ἐλαία	|
G1638	ἐλαιών	G1636	G1636	ἐλαία	|
G1639	Ἐλαμίτης	H5867	G1639	Ἐλαμίτης	|
G1640	ἐλάττων	G1646	G1646	ἐλάχιστος	|
G1641	ἐλαττονέω	G1640	G1646	ἐλάχιστος	|
G1642	ἐλαττόω	G1640	G1646	ἐλάχιστος	|
G1643	ἐλαύνω		G1643	ἐλαύνω	|
G1644	ἐλαφρία	G1645	G1643+G1646	ἐλαύνω+ἐλάχιστος	|
G1645	ἐλαφρός	G1643+G1640	G1643+G1646	ἐλαύνω+ἐλάχιστος	|
G1646	ἐλάχιστος		G1646	ἐλάχιστος	|
G1647	ἐλαχιστότερος	G1646	G1646	ἐλάχιστος	|
G1648	Ἐλεάζαρ	H499	G1648	Ἐλεάζαρ	|
G1649	ἔλεγξις	G1651	G1651	ἐλέγχω	|
G1650	ἔλεγχος	G1651	G1651	ἐλέγχω	|
G1651	ἐλέγχω		G1651	ἐλέγχω	|
G1652	ἐλεεινός	G1656	G1656	ἔλεος	|
G1653	ἐλεέω	G1656	G1656	ἔλεος	|
G1654	ἐλεημοσύνη	G1656	G1656	ἔλεος	|
G1655	ἐλεήμων	G1653	G1656	ἔλεος	|
G1656	ἔλεος		G1656	ἔλεος	|
G1657	ἐλευθερία	G1658	G2064	ἔρχομαι	|
G1658	ἐλεύθερος	G2064	G2064	ἔρχομαι	|
G1659	ἐλευθερόω	G1658	G2064	ἔρχομαι	|
G1660	ἔλευσις	G2064	G2064	ἔρχομαι	|
G1661	ἐλεφάντινος		G1661	ἐλεφάντινος	|
G1662	Ἐλιακείμ	H471	G1662	Ἐλιακείμ	|
G1663	Ἐλιέζερ	H461	G1663	Ἐλιέζερ	|
G1664	Ἐλιούδ	H410+H1935	G1664	Ἐλιούδ	|
G1665	Ἐλισάβετ	H472	G1665	Ἐλισάβετ	|
G1666	Ἐλισσαῖος	H477	G1666	Ἐλισσαῖος	|
G1667	ἑλίσσω	G1507	G1507	εἱλίσσω	|
G1668	ἕλκος	G1670	G142	αἴρω	|
G1669	ἑλκόω	G1668	G142	αἴρω	|
G1670	ἕλκω	G138	G142	αἴρω	|
G1671	Ἑλλάς		G1671	Ἑλλάς	|
G1672	Ἕλλην	G1671	G1671	Ἑλλάς	|
G1673	Ἑλληνικός	G1672	G1671	Ἑλλάς	|
G1674	Ἑλληνίς	G1672	G1671	Ἑλλάς	|
G1675	Ἑλληνιστής	G1672	G1671	Ἑλλάς	|
G1676	Ἑλληνιστί	G1675	G1671	Ἑλλάς	|
G1677	ἐλλογέω	G1722+G3056	G1519+G1537+G3004	εἰς+ἐξ+λέγω	|
G1678	Ἐλμωδάμ	H486	G1678	Ἐλμωδάμ	|
G1679	ἐλπίζω	G1680	G1680	ἐλπίς	|
G1680	ἐλπίς		G1680	ἐλπίς	|
G1681	Ἐλύμας		G1681	Ἐλύμας	|
G1682	ἐλοΐ	H426	G1682	ἐλοΐ	|
G1683	ἐμαυτοῦ	G1700+G846	G3425+G109	μόγις+ἀήρ	|
G1684	ἐμβαίνω	G1722+G939	G1519+G1537+G939	εἰς+ἐξ+βάσις	|
G1685	ἐμβάλλω	G1722+G906	G1519+G1537+G906	εἰς+ἐξ+βάλλω	|
G1686	ἐμβάπτω	G1722+G911	G1519+G1537+G911	εἰς+ἐξ+βάπτω	|
G1687	ἐμβατεύω	G1722+G939	G1519+G1537+G939	εἰς+ἐξ+βάσις	|
G1688	ἐμβιβάζω	G1722+G1684	G1519+G1537+G1519+G1537+G939	εἰς+ἐξ+εἰς+ἐξ+βάσις	|
G1689	ἐμβλέπω	G1722+G991	G1519+G1537+G991	εἰς+ἐξ+βλέπω	|
G1690	ἐμβριμάομαι	G1722	G1519+G1537	εἰς+ἐξ	|
G1691	ἐμέ	G3165	G3165	μέ	|
G1692	ἐμέω		G1692	ἐμέω	|
G1693	ἐμμαίνομαι	G1722+G3105	G1519+G1537+G3105	εἰς+ἐξ+μαίνομαι	|
G1694	Ἐμμανουήλ	H6005	G1694	Ἐμμανουήλ	|
G1695	Ἐμμαούς	H3222	G1695	Ἐμμαούς	|
G1696	ἐμμένω	G1722+G3306	G1519+G1537+G3306	εἰς+ἐξ+μένω	|
G1697	Ἐμμόρ	H2544	G1697	Ἐμμόρ	|
G1698	ἐμοί	G3427	G3427	μοί	|
G1699	ἐμός	G1473+G1698+G1700+G1691	G1473+G3427+G3425+G3165	ἐγώ+μοί+μόγις+μέ	|
G1700	ἐμοῦ	G3449	G3425	μόγις	|
G1701	ἐμπαιγμός	G1702	G1519+G1537+G3817	εἰς+ἐξ+παίω	|
G1702	ἐμπαίζω	G1722+G3815	G1519+G1537+G3817	εἰς+ἐξ+παίω	|
G1703	ἐμπαίκτης	G1702	G1519+G1537+G3817	εἰς+ἐξ+παίω	|
G1704	ἐμπεριπατέω	G1722+G4043	G1519+G1537+G4008+G3817	εἰς+ἐξ+πέραν+παίω	|
G1705	ἐμπλήθω	G1722+G4118	G1519+G1537+G4183	εἰς+ἐξ+πολύς	|
G1706	ἐμπίπτω	G1722+G4098	G1519+G1537+G4072	εἰς+ἐξ+πτάομαι	|
G1707	ἐμπλέκω	G1722+G4120	G1519+G1537+G4120	εἰς+ἐξ+πλέκω	|
G1708	ἐμπλοκή	G1707	G1519+G1537+G4120	εἰς+ἐξ+πλέκω	|
G1709	ἐμπνέω	G1722+G4154	G1519+G1537+G4154	εἰς+ἐξ+πνέω	|
G1710	ἐμπορεύομαι	G1722+G4198	G1519+G1537+G4008	εἰς+ἐξ+πέραν	|
G1711	ἐμπορία	G1713	G1519+G1537+G4008	εἰς+ἐξ+πέραν	|
G1712	ἐμπόριον	G1713	G1519+G1537+G4008	εἰς+ἐξ+πέραν	|
G1713	ἔμπορος	G1722+G4198	G1519+G1537+G4008	εἰς+ἐξ+πέραν	|
G1714	ἐμπρήθω	G1722	G1519+G1537	εἰς+ἐξ	|
G1715	ἔμπροσθεν	G1722+G4314	G1519+G1537+G4253	εἰς+ἐξ+πρό	|
G1716	ἐμπτύω	G1722+G4429	G1519+G1537+G4428	εἰς+ἐξ+πτύσσω	|
G1717	ἐμφανής	G1722+G5316	G1519+G1537+G5346	εἰς+ἐξ+φημί	|
G1718	ἐμφανίζω	G1717	G1519+G1537+G5346	εἰς+ἐξ+φημί	|
G1719	ἔμφοβος	G1722+G5401	G1519+G1537+G5401	εἰς+ἐξ+φόβος	|
G1720	ἐμφυσάω	G1722+G5453	G1519+G1537+G5453	εἰς+ἐξ+φύω	|
G1721	ἔμφυτος	G1722+G5453	G1519+G1537+G5453	εἰς+ἐξ+φύω	|
G1722	ἐν	G1519+G1537	G1519+G1537	εἰς+ἐξ	|
G1723	ἐναγκαλίζομαι	G1722+G43	G1519+G1537+G43	εἰς+ἐξ+ἀγκάλη	|
G1724	ἐνάλιος	G1722+G251	G1519+G1537+G251	εἰς+ἐξ+ἅλς	|
G1725	ἔναντι	G1722+G473	G1519+G1537+G473	εἰς+ἐξ+ἀντί	|
G1726	ἐναντίον	G1727	G1519+G1537+G473	εἰς+ἐξ+ἀντί	|
G1727	ἐναντίος	G1725	G1519+G1537+G473	εἰς+ἐξ+ἀντί	|
G1728	ἐνάρχομαι	G1722+G756	G1519+G1537+G757	εἰς+ἐξ+ἄρχω	|
G1729	ἐνδεής	G1722+G1210	G1519+G1537+G1210	εἰς+ἐξ+δέω	|
G1730	ἔνδειγμα	G1731	G1519+G1537+G1166	εἰς+ἐξ+δεικνύω	|
G1731	ἐνδείκνυμι	G1722+G1166	G1519+G1537+G1166	εἰς+ἐξ+δεικνύω	|
G1732	ἔνδειξις	G1731	G1519+G1537+G1166	εἰς+ἐξ+δεικνύω	|
G1733	ἕνδεκα	G1520+G1176	G1520+G1176	ἕν+δέκα	|
G1734	ἑνδέκατος	G1733	G1520+G1176	ἕν+δέκα	|
G1735	ἐνδέχεται	G1722+G1209	G1519+G1537+G1209	εἰς+ἐξ+δέχομαι	|
G1736	ἐνδημέω	G1722+G1218	G1519+G1537+G1210	εἰς+ἐξ+δέω	|
G1737	ἐνδιδύσκω	G1746	G1519+G1537+G1416	εἰς+ἐξ+δῦμι	|
G1738	ἔνδικος	G1722+G1349	G1519+G1537+G1166	εἰς+ἐξ+δεικνύω	|
G1739	ἐνδόμησις	G1722+G1218	G1519+G1537+G1210	εἰς+ἐξ+δέω	|
G1740	ἐνδοξάζω	G1741	G1519+G1537+G1380	εἰς+ἐξ+δοκέω	|
G1741	ἔνδοξος	G1722+G1391	G1519+G1537+G1380	εἰς+ἐξ+δοκέω	|
G1742	ἔνδυμα	G1746	G1519+G1537+G1416	εἰς+ἐξ+δῦμι	|
G1743	ἐνδυναμόω	G1722+G1412	G1519+G1537+G1410	εἰς+ἐξ+δύναμαι	|
G1744	ἐνδύνω	G1772+G1416	G1519+G1537+G3551+G1416	εἰς+ἐξ+νόμος+δῦμι	|
G1745	ἔνδυσις	G1746	G1519+G1537+G1416	εἰς+ἐξ+δῦμι	|
G1746	ἐνδύω	G1722+G1416	G1519+G1537+G1416	εἰς+ἐξ+δῦμι	|
G1747	ἐνέδρα	G1722+G1476	G1519+G1537+G1476	εἰς+ἐξ+ἑδραῖος	|
G1748	ἐνεδρεύω	G1747	G1519+G1537+G1476	εἰς+ἐξ+ἑδραῖος	|
G1749	ἔνεδρον	G1747	G1519+G1537+G1476	εἰς+ἐξ+ἑδραῖος	|
G1750	ἐνειλέω	G1772+G1507	G1519+G1537+G3551+G1507	εἰς+ἐξ+νόμος+εἱλίσσω	|
G1751	ἔνειμι	G1772+G1510	G1519+G1537+G3551+G1510	εἰς+ἐξ+νόμος+εἰμί	|
G1752	εἵνεκεν		G1752	εἵνεκεν	|
G1753	ἐνέργεια	G1756	G1519+G1537+G2041	εἰς+ἐξ+ἔργον	|
G1754	ἐνεργέω	G1756	G1519+G1537+G2041	εἰς+ἐξ+ἔργον	|
G1755	ἐνέργημα	G1754	G1519+G1537+G2041	εἰς+ἐξ+ἔργον	|
G1756	ἐνεργής	G1722+G2041	G1519+G1537+G2041	εἰς+ἐξ+ἔργον	|
G1757	ἐνευλογέω	G1722+G2127	G1519+G1537+G2095+G3004	εἰς+ἐξ+εὖ+λέγω	|
G1758	ἐνέχω	G1722+G2192	G1519+G1537+G2192	εἰς+ἐξ+σχέω	|
G1759	ἐνθάδε	G1722	G1519+G1537	εἰς+ἐξ	|
G1760	ἐνθυμέομαι	G1722+G2372	G1519+G1537+G2380	εἰς+ἐξ+θύω	|
G1761	ἐνθύμησις	G1760	G1519+G1537+G2380	εἰς+ἐξ+θύω	|
G1762	ἔνι	G1751	G1519+G1537+G3551+G1510	εἰς+ἐξ+νόμος+εἰμί	|
G1763	ἐνιαυτός		G1763	ἐνιαυτός	|
G1764	ἐνίστημι	G1722+G2476	G1519+G1537+G2476	εἰς+ἐξ+ἵστημι	|
G1765	ἐνισχύω	G1722+G2480	G1519+G1537+G2479	εἰς+ἐξ+ἰσχύς	|
G1766	ἔννατος	G1767	G1767	ἐννέα	|
G1767	ἐννέα		G1767	ἐννέα	|
G1768	ἐννενηκονταεννέα	G1767+G1767	G1767+G1767	ἐννέα+ἐννέα	|
G1769	ἐννεός	G1770	G1519+G1537+G3506	εἰς+ἐξ+νεύω	|
G1770	ἐννεύω	G1722+G3506	G1519+G1537+G3506	εἰς+ἐξ+νεύω	|
G1771	ἔννοια	G1722+G3563	G1519+G1537+G1097	εἰς+ἐξ+γινώσκω	|
G1772	ἔννομος	G1722+G3551	G1519+G1537+G3551	εἰς+ἐξ+νόμος	|
G1773	ἔννυχον	G1722+G3571	G1519+G1537+G3571	εἰς+ἐξ+νύξ	|
G1774	ἐνοικέω	G1722+G3611	G1519+G1537+G3624	εἰς+ἐξ+οἶκος	|
G1775	ἑνότης	G1520	G1520	ἕν	|
G1776	ἐνοχλέω	G1722+G3791	G1519+G1537+G2192	εἰς+ἐξ+σχέω	|
G1777	ἔνοχος	G1758	G1519+G1537+G2192	εἰς+ἐξ+σχέω	|
G1778	ἔνταλμα	G1781	G1519+G1537+G5056	εἰς+ἐξ+τέλος	|
G1779	ἐνταφιάζω	G1722+G5028	G1519+G1537+G2290	εἰς+ἐξ+θάπτω	|
G1780	ἐνταφιασμός	G1779	G1519+G1537+G2290	εἰς+ἐξ+θάπτω	|
G1781	ἐντέλλομαι	G1722+G5056	G1519+G1537+G5056	εἰς+ἐξ+τέλος	|
G1782	ἐντεῦθεν	G1759	G1519+G1537	εἰς+ἐξ	|
G1783	ἔντευξις	G1793	G1519+G1537+G5177	εἰς+ἐξ+τυγχάνω	|
G1784	ἔντιμος	G1722+G5092	G1519+G1537+G5099	εἰς+ἐξ+τίνω	|
G1785	ἐντολή	G1781	G1519+G1537+G5056	εἰς+ἐξ+τέλος	|
G1786	ἐντόπιος	G1722+G5117	G1519+G1537+G5117	εἰς+ἐξ+τόπος	|
G1787	ἐντός	G1722	G1519+G1537	εἰς+ἐξ	|
G1788	ἐντρέπω	G1722+G5157	G1519+G1537+G5157	εἰς+ἐξ+τροπή	|
G1789	ἐντρέφω	G1722+G5142	G1519+G1537+G5142	εἰς+ἐξ+τρέφω	|
G1790	ἔντρομος	G1722+G5156	G1519+G1537+G5141	εἰς+ἐξ+τρέμω	|
G1791	ἐντροπή	G1788	G1519+G1537+G5157	εἰς+ἐξ+τροπή	|
G1792	ἐντρυφάω	G1722+G5171	G1519+G1537+G5172	εἰς+ἐξ+τρυφή	|
G1793	ἐντυγχάνω	G1722+G5177	G1519+G1537+G5177	εἰς+ἐξ+τυγχάνω	|
G1794	ἐντυλίσσω	G1722+G1507	G1519+G1537+G1507	εἰς+ἐξ+εἱλίσσω	|
G1795	ἐντυπόω	G1722+G5179	G1519+G1537+G5180	εἰς+ἐξ+τύπτω	|
G1796	ἐνυβρίζω	G1722+G5195	G1519+G1537+G5228	εἰς+ἐξ+ὑπέρ	|
G1797	ἐνυπνιάζομαι	G1798	G1519+G1537+G5259	εἰς+ἐξ+ὑπό	|
G1798	ἐνύπνιον	G1722+G5258	G1519+G1537+G5259	εἰς+ἐξ+ὑπό	|
G1799	ἐνώπιον	G1722+G3700	G1519+G1537+G3708	εἰς+ἐξ+ὁράω	|
G1800	Ἐνώς	H583	G1800	Ἐνώς	|
G1801	ἐνωτίζομαι	G1722+G3775	G1519+G1537+G3775	εἰς+ἐξ+οὖς	|
G1802	Ἐνώχ	H2585	G1802	Ἐνώχ	|
G1803	ἕξ		G1803	ἕξ	|
G1804	ἐξαγγέλλω	G1537+G32	G1537+G71	ἐξ+ἄγω	|
G1805	ἐξαγοράζω	G1537+G59	G1537+G1453	ἐξ+ἐγείρω	|
G1806	ἐξάγω	G1537+G71	G1537+G71	ἐξ+ἄγω	|
G1807	ἐξαιρέω	G1537+G138	G1537+G142	ἐξ+αἴρω	|
G1808	ἐξαίρω	G1537+G142	G1537+G142	ἐξ+αἴρω	|
G1809	ἐξαιτέομαι	G1537+G154	G1537+G154	ἐξ+αἰτέω	|
G1810	ἐξαίφνης	G1537+G160	G1537+G1+G5346	ἐξ+ἄν+φημί	|
G1811	ἐξακολουθέω	G1537+G190	G1537+G1	ἐξ+ἄν	|
G1812	ἑξακόσιοι	G1803+G1540	G1803+G1540	ἕξ+ἑκατόν	|
G1813	ἐξαλείφω	G1537+G218	G1537+G1+G3045	ἐξ+ἄν+λιπαρός	|
G1814	ἐξάλλομαι	G1537+G242	G1537+G242	ἐξ+ἅλλομαι	|
G1815	ἐξανάστασις	G1817	G1537+G303+G2476	ἐξ+ἀνά+ἵστημι	|
G1816	ἐξανατέλλω	G1537+G393	G1537+G303+G5056	ἐξ+ἀνά+τέλος	|
G1817	ἐξανίστημι	G1537+G450	G1537+G303+G2476	ἐξ+ἀνά+ἵστημι	|
G1818	ἐξαπατάω	G1537+G538	G1537+G538	ἐξ+ἀπατάω	|
