G87	ἀδιάκριτος	G1+G1252	G1+G1223+G2919	ἄν+διά+κρίνω	|
G88	ἀδιάλειπτος	G1+G1223+G3007	G1+G1223+G3007	ἄν+διά+λείπω	|
G89	ἀδιαλείπτως	G88	G1+G1223+G3007	ἄν+διά+λείπω	|
G90	ἀδιαφθορία	G1+G1311	G1+G1223+G906+G5351	ἄν+διά+βάλλω+φθείρω	|
G91	ἀδικέω	G94	G1+G1166	ἄν+δεικνύω	|
G92	ἀδίκημα	G91	G1+G1166	ἄν+δεικνύω	|
G93	ἀδικία	G94	G1+G1166	ἄν+δεικνύω	|
G94	ἄδικος	G1+G1349	G1+G1166	ἄν+δεικνύω	|
G95	ἀδίκως	G94	G1+G1166	ἄν+δεικνύω	|
G96	ἀδόκιμος	G1+G1384	G1+G1380	ἄν+δοκέω	|
G97	ἄδολος	G1	G1	ἄν	|
G98	Ἀδραμυττηνός		G98	Ἀδραμυττηνός	|
G99	Ἀδρίας		G99	Ἀδρίας	|
G100	ἁδρότης		G100	ἁδρότης	|
G101	ἀδυνατέω	G102	G1+G1410	ἄν+δύναμαι	|
G102	ἀδύνατος	G1+G1415	G1+G1410	ἄν+δύναμαι	|
G103	ᾄδω		G103	ᾄδω	|
G104	ἀεί		G104	ἀεί	|
G105	ἀετός	G109	G109	ἀήρ	|
G106	ἄζυμος	G1+G2219	G1+G2204	ἄν+ζέω	|
G107	Ἀζώρ	H5809	G107	Ἀζώρ	|
G108	Ἄζωτος	H795	G108	Ἄζωτος	|
G109	ἀήρ		G109	ἀήρ	|
G110	ἀθανασία	G1+G2288	G1+G2348	ἄν+θνήσκω	|
G111	ἀθέμιτος	G1+G5087	G1+G5087	ἄν+τίθημι	|
G112	ἄθεος	G1+G2316	G1+G2316	ἄν+θεός	|
G113	ἄθεσμος	G1+G5087	G1+G5087	ἄν+τίθημι	|
G114	ἀθετέω	G1+G5087	G1+G5087	ἄν+τίθημι	|
G115	ἀθέτησις	G114	G1+G5087	ἄν+τίθημι	|
G116	Ἀθῆναι		G116	Ἀθῆναι	|
G117	Ἀθηναῖος	G116	G116	Ἀθῆναι	|
G118	ἀθλέω		G118	ἀθλέω	|
G119	ἄθλησις	G118	G118	ἀθλέω	|
G120	ἀθυμέω	G1+G2372	G1+G2380	ἄν+θύω	|
G121	ἄθωος	G1+G5087	G1+G5087	ἄν+τίθημι	|
G122	αἴγειος		G122	αἴγειος	|
G123	αἰγιαλός	G251	G251	ἅλς	|
G124	Αἰγύπτιος	G125	G125	Αἴγυπτος	|
G125	Αἴγυπτος		G125	Αἴγυπτος	|
G126	ἀΐδιος	G104	G104	ἀεί	|
G127	αἰδώς	G1+G1492	G1+G1492	ἄν+εἴδω	|
G128	Αἰθίοψ	G3700	G3708	ὁράω	|
G129	αἷμα		G129	αἷμα	|
G130	αἱματεκχυσία	G129+G1632	G129+G1537	αἷμα+ἐξ	|
G131	αἱμοῤῥέω	G129+G4482	G129+G4482	αἷμα+ῥέω	|
G132	Αἰνέας		G132	Αἰνέας	|
G133	αἴνεσις	G134	G136	αἶνος	|
G134	αἰνέω	G136	G136	αἶνος	|
G135	αἴνιγμα	G136	G136	αἶνος	|
G136	αἶνος		G136	αἶνος	|
G137	Αἰνών	H5869	G137	Αἰνών	|
G138	ἕλλομαι	G142	G142	αἴρω	|
G139	αἵρεσις	G138	G142	αἴρω	|
G140	αἱρετίζω	G138	G142	αἴρω	|
G141	αἱρετικός	G140	G142	αἴρω	|
G142	αἴρω		G142	αἴρω	|
G143	αἰσθάνομαι		G143	αἰσθάνομαι	|
G144	αἴσθησις	G143	G143	αἰσθάνομαι	|
G145	αἰσθητήριον	G143	G143	αἰσθάνομαι	|
G146	αἰσχροκερδής	G150	G153	αἰσχύνομαι	|
G147	αἰσχροκερδῶς	G146	G153	αἰσχύνομαι	|
G148	αἰσχρολογία	G150+G3056	G153+G3004	αἰσχύνομαι+λέγω	|
G149	αἰσχρόν	G150	G153	αἰσχύνομαι	|
G150	αἰσχρός	G153	G153	αἰσχύνομαι	|
G151	αἰσχρότης	G150	G153	αἰσχύνομαι	|
G152	αἰσχύνη	G153	G153	αἰσχύνομαι	|
G153	αἰσχύνομαι		G153	αἰσχύνομαι	|
G154	αἰτέω		G154	αἰτέω	|
G155	αἴτημα	G154	G154	αἰτέω	|
G156	αἰτία	G154	G154	αἰτέω	|
G157	αἰτίαμα	G156	G154	αἰτέω	|
G158	αἴτιον	G159	G154	αἰτέω	|
G159	αἴτιος	G154	G154	αἰτέω	|
G160	αἰφνίδιος	G1+G5316+G1810	G1+G5346+G1537+G1+G5346	ἄν+φημί+ἐξ+ἄν+φημί	|
G161	αἰχμαλωσία	G164	G142	αἴρω	|
G162	αἰχμαλωτεύω	G164	G142	αἴρω	|
G163	αἰχμαλωτίζω	G164	G142	αἴρω	|
G164	αἰχμάλωτος	G259	G142	αἴρω	|
G165	αἰών	G104	G104	ἀεί	|
G166	αἰώνιος	G165	G104	ἀεί	|
G167	ἀκαθαρσία	G169	G1+G2513	ἄν+καθαρός	|
G168	ἀκαθάρτης	G169	G1+G2513	ἄν+καθαρός	|
G169	ἀκάθαρτος	G1+G2508	G1+G2513	ἄν+καθαρός	|
G170	ἀκαιρέομαι	G1+G2540	G1+G2540	ἄν+καιρός	|
G171	ἀκαίρως	G170	G1+G2540	ἄν+καιρός	|
G172	ἄκακος	G1+G2556	G1+G2556	ἄν+κακός	|
G173	ἄκανθα	G188	G188	ἀκμήν	|
G174	ἀκάνθινος	G173	G188	ἀκμήν	|
G175	ἄκαρπος	G1+G2590	G1+G142	ἄν+αἴρω	|
G176	ἀκατάγνωστος	G1+G2607	G1+G2596+G1097	ἄν+κατά+γινώσκω	|
G177	ἀκατακάλυπτος	G1+G2596+G2572	G1+G2596+G2813+G2928	ἄν+κατά+κλέπτω+κρύπτω	|
G178	ἀκατάκριτος	G1+G2632	G1+G2596+G2919	ἄν+κατά+κρίνω	|
G179	ἀκατάλυτος	G1+G2647	G1+G2596+G3089	ἄν+κατά+λύω	|
G180	ἀκατάπαυστος	G1+G2664	G1+G2596+G3973	ἄν+κατά+παύω	|
